[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||traceid=c0a8bc9f5f0882da74580e150b9ca8b0||cspanid=||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_tcp_rule.go:21||current_time=2020-07-10 23:01:46||proc_time=0.000614s||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '52')||affected_row=1||spanid=9fa03e4509825e11
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||source=/Users/tao/moduleGo/gin_scaffold/dao/service_grpc_rule.go:23||current_time=2020-07-10 23:01:46||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '52')||cspanid=||level=sql||affected_row=0||traceid=c0a8bc9f5f0882da74c00e15e9f767b0||spanid=9fa03e4527dff7ab||proc_time=0.000537s
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||affected_row=1||cspanid=||level=sql||current_time=2020-07-10 23:01:46||proc_time=0.000767s||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '52')||source=/Users/tao/moduleGo/gin_scaffold/dao/service_access_control.go:27||traceid=c0a8bc9f5f0882da11b00e1588f8bdb0||spanid=9fa03e455d78399c
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||source=/Users/tao/moduleGo/gin_scaffold/dao/service_load_balance.go:33||proc_time=0.000663s||traceid=c0a8bc9f5f0882dac5800e15d0a1e9b0||level=sql||current_time=2020-07-10 23:01:46||sql=SELECT * FROM `gateway_service_load_balance`  WHERE (`gateway_service_load_balance`.`service_id` = '52')||affected_row=1||cspanid=||spanid=9fa03e4557613082
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||spanid=9fa03e453f1f46e8||level=sql||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '53')||affected_row=0||traceid=c0a8bc9f5f0882da92d80e15a08e4bb0||cspanid=||source=/Users/tao/moduleGo/gin_scaffold/dao/service_http_rule.go:27||current_time=2020-07-10 23:01:46||proc_time=0.000664s
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||cspanid=||spanid=9fa03e45586d6826||level=sql||affected_row=0||proc_time=0.001262s||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '53')||traceid=c0a8bc9f5f0882da02700e1589c167b0||source=/Users/tao/moduleGo/gin_scaffold/dao/service_tcp_rule.go:21||current_time=2020-07-10 23:01:46
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||traceid=c0a8bc9f5f0882da99380e1522787cb0||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_grpc_rule.go:23||proc_time=0.001019s||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '53')||spanid=9fa03e4546a03cb4||current_time=2020-07-10 23:01:46||affected_row=1||cspanid=
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||proc_time=0.001310s||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '53')||traceid=c0a8bc9f5f0882da25200e15b92d01b0||spanid=9fa03e457e34179d||level=sql||current_time=2020-07-10 23:01:46||affected_row=1||cspanid=||source=/Users/tao/moduleGo/gin_scaffold/dao/service_access_control.go:27
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||affected_row=1||source=/Users/tao/moduleGo/gin_scaffold/dao/service_load_balance.go:33||current_time=2020-07-10 23:01:46||sql=SELECT * FROM `gateway_service_load_balance`  WHERE (`gateway_service_load_balance`.`service_id` = '53')||traceid=c0a8bc9f5f0882da91380e154e91e9b0||cspanid=||spanid=9fa03e4552804793||level=sql||proc_time=0.000864s
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||current_time=2020-07-10 23:01:46||proc_time=0.000783s||cspanid=||affected_row=0||traceid=c0a8bc9f5f0882da39080e15b58fbeb0||spanid=9fa03e452f521858||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_http_rule.go:27||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '54')
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||cspanid=||level=sql||current_time=2020-07-10 23:01:46||proc_time=0.000428s||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '54')||affected_row=0||traceid=c0a8bc9f5f0882dab6280e15f7ae24b0||source=/Users/tao/moduleGo/gin_scaffold/dao/service_tcp_rule.go:21||spanid=9fa03e451e925507
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||affected_row=1||traceid=c0a8bc9f5f0882da53600e1502a18db0||spanid=9fa03e453485757e||source=/Users/tao/moduleGo/gin_scaffold/dao/service_grpc_rule.go:23||proc_time=0.000446s||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '54')||cspanid=||level=sql||current_time=2020-07-10 23:01:46
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '54')||traceid=c0a8bc9f5f0882dab7d00e156b36dbb0||spanid=9fa03e454fd269fd||proc_time=0.000683s||affected_row=1||cspanid=||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_access_control.go:27||current_time=2020-07-10 23:01:46
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||level=sql||proc_time=0.000562s||source=/Users/tao/moduleGo/gin_scaffold/dao/service_load_balance.go:33||current_time=2020-07-10 23:01:46||sql=SELECT * FROM `gateway_service_load_balance`  WHERE (`gateway_service_load_balance`.`service_id` = '54')||affected_row=1||traceid=c0a8bc9f5f0882dadd300e1510d632b0||cspanid=||spanid=9fa03e455e377ef5
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||affected_row=0||cspanid=||source=/Users/tao/moduleGo/gin_scaffold/dao/service_http_rule.go:27||current_time=2020-07-10 23:01:46||proc_time=0.000427s||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '55')||level=sql||traceid=c0a8bc9f5f0882dadfb00e154f278ab0||spanid=9fa03e45346e5f29
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||spanid=9fa03e457539a201||traceid=c0a8bc9f5f0882dab3980e155d2928b0||cspanid=||current_time=2020-07-10 23:01:46||proc_time=0.000430s||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '55')||affected_row=1||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_tcp_rule.go:21
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||proc_time=0.000437s||affected_row=0||traceid=c0a8bc9f5f0882da64580e155f3257b0||cspanid=||spanid=9fa03e457062b076||source=/Users/tao/moduleGo/gin_scaffold/dao/service_grpc_rule.go:23||current_time=2020-07-10 23:01:46||level=sql||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '55')
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_access_control.go:27||current_time=2020-07-10 23:01:46||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '55')||affected_row=1||spanid=9fa03e456c443faf||proc_time=0.000453s||traceid=c0a8bc9f5f0882da1ce80e155ca80db0||cspanid=
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||sql=SELECT * FROM `gateway_service_load_balance`  WHERE (`gateway_service_load_balance`.`service_id` = '55')||affected_row=1||traceid=c0a8bc9f5f0882da1bc80e15acfc5db0||spanid=9fa03e45163a5ace||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_load_balance.go:33||current_time=2020-07-10 23:01:46||proc_time=0.000478s||cspanid=
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||spanid=9fa03e4503e19bf7||level=sql||current_time=2020-07-10 23:01:46||proc_time=0.000376s||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '56')||affected_row=1||traceid=c0a8bc9f5f0882da9b900e15cfb024b0||source=/Users/tao/moduleGo/gin_scaffold/dao/service_http_rule.go:27||cspanid=
